address,price,beds,baths,area,statusText,latitude,longitude,url
"2011 W Burgess Ln, Phoenix, AZ 85041","$375,000",3,2,1470,House for sale,33.389206,-112.101944,https://www.zillow.comhttps://www.zillow.com/homedetails/2011-W-Burgess-Ln-Phoenix-AZ-85041/67781735_zpid/
"6118 S 46th Ave, Laveen, AZ 85339","$535,000",5,3,3336,House for sale,33.391075,-112.15772,https://www.zillow.comhttps://www.zillow.com/homedetails/6118-S-46th-Ave-Laveen-AZ-85339/67773461_zpid/
"4627 E McNeil St, Phoenix, AZ 85044","$549,500",4,3,2030,House for sale,33.358498,-111.97776,https://www.zillow.comhttps://www.zillow.com/homedetails/4627-E-McNeil-St-Phoenix-AZ-85044/8142330_zpid/
"1807 E Campbell Ave, Phoenix, AZ 85016","$1,275,000",4,3.5,2770,House for sale,33.50174,-112.042366,https://www.zillow.comhttps://www.zillow.com/homedetails/1807-E-Campbell-Ave-Phoenix-AZ-85016/7804455_zpid/
"2542 E Jones Ave, Phoenix, AZ 85040","$339,900",4,2,1178,House for sale,33.410778,-112.02576,https://www.zillow.comhttps://www.zillow.com/homedetails/2542-E-Jones-Ave-Phoenix-AZ-85040/7546107_zpid/
"4708 N 106th Dr, Phoenix, AZ 85037","$339,900",3,2,1363,For sale by owner,33.504826,-112.28958,https://www.zillow.comhttps://www.zillow.com/homedetails/4708-N-106th-Dr-Phoenix-AZ-85037/7466189_zpid/
"4407 W Avenida Del Sol, Glendale, AZ 85310","$495,000",4,2,1696,House for sale,33.70099,-112.154526,https://www.zillow.comhttps://www.zillow.com/homedetails/4407-W-Avenida-Del-Sol-Glendale-AZ-85310/7930590_zpid/
"2233 E Behrend Dr #203, Phoenix, AZ 85024","$180,000",4,2,1680,Home for sale,33.662655,-112.03744,https://www.zillow.comhttps://www.zillow.com/homedetails/2233-E-Behrend-Dr-203-Phoenix-AZ-85024/452755691_zpid/
"16402 N 31st St UNIT 115, Phoenix, AZ 85032","$197,500",2,2,934,Condo for sale,33.635662,-112.01748,https://www.zillow.comhttps://www.zillow.com/homedetails/16402-N-31st-St-UNIT-115-Phoenix-AZ-85032/8005947_zpid/
"1017 W Lydia Ln, Phoenix, AZ 85041","$356,500",4,2.5,1643,House for sale,33.38709,-112.085526,https://www.zillow.comhttps://www.zillow.com/homedetails/1017-W-Lydia-Ln-Phoenix-AZ-85041/60976382_zpid/
"12215 S Potomac St, Phoenix, AZ 85044","$280,000",2,2,1212,House for sale,33.33615,-111.980515,https://www.zillow.comhttps://www.zillow.com/homedetails/12215-S-Potomac-St-Phoenix-AZ-85044/8257570_zpid/
"3317 N 10th Ave, Phoenix, AZ 85013","$349,900",3,2,1092,House for sale,33.486656,-112.08585,https://www.zillow.comhttps://www.zillow.com/homedetails/3317-N-10th-Ave-Phoenix-AZ-85013/7518206_zpid/
"3226 W Grovers Ave, Phoenix, AZ 85053","$255,000",2,1,991,House for sale,33.64762,-112.12882,https://www.zillow.comhttps://www.zillow.com/homedetails/3226-W-Grovers-Ave-Phoenix-AZ-85053/7941587_zpid/
"13202 N 40th Pl, Phoenix, AZ 85032","$430,000",3,2,1784,House for sale,33.606674,-111.99558,https://www.zillow.comhttps://www.zillow.com/homedetails/13202-N-40th-Pl-Phoenix-AZ-85032/7823287_zpid/
"6140 W Berkeley Rd, Phoenix, AZ 85035","$425,000",4,3,1568,House for sale,33.468456,-112.19186,https://www.zillow.comhttps://www.zillow.com/homedetails/6140-W-Berkeley-Rd-Phoenix-AZ-85035/7490928_zpid/
"1802 E Campo Bello Dr LOT 36, Phoenix, AZ 85022","$120,000",3,2,1512,Home for sale,33.645996,-112.04287,https://www.zillow.comhttps://www.zillow.com/homedetails/1802-E-Campo-Bello-Dr-LOT-36-Phoenix-AZ-85022/2097651520_zpid/
"515 W Romley Ave, Phoenix, AZ 85041","$300,000",3,2,1972,House for sale,33.401394,-112.07934,https://www.zillow.comhttps://www.zillow.com/homedetails/515-W-Romley-Ave-Phoenix-AZ-85041/7524175_zpid/
"12016 N 45th Ave, Glendale, AZ 85304","$370,000",4,2.25,2211,House for sale,33.59508,-112.15553,https://www.zillow.comhttps://www.zillow.com/homedetails/12016-N-45th-Ave-Glendale-AZ-85304/7727222_zpid/
